feature,bin,churn_rate,correlation
onboarding_skips,"(-0.001, 3.0]",0.7645331767469172,0.03402765340534931
quiz_answers,"(-0.001, 3.0]",0.7645331767469172,-0.03487594970269713
total_events,"(6.999, 13.0]",1.0,-0.48046578988948413
total_events,"(13.0, 36.0]",0.740608228980322,-0.48046578988948413
total_events,"(36.0, 46.0]",0.8229376257545271,-0.48046578988948413
total_events,"(46.0, 54.0]",0.8215297450424929,-0.48046578988948413
total_events,"(54.0, 62.0]",0.7831449126413155,-0.48046578988948413
total_events,"(62.0, 72.0]",0.766397124887691,-0.48046578988948413
total_events,"(72.0, 83.0]",0.7289915966386554,-0.48046578988948413
total_events,"(83.0, 104.0]",0.5989949748743718,-0.48046578988948413
total_events,"(104.0, 440.0]",0.24779627815866798,-0.48046578988948413
avg_event_interval_sec,"(5.6659999999999995, 18.5]",1.0,-0.07570244591542676
avg_event_interval_sec,"(18.5, 20.417]",0.9960435212660732,-0.07570244591542676
avg_event_interval_sec,"(20.417, 105.351]",0.6494538232373386,-0.07570244591542676
avg_event_interval_sec,"(105.351, 138.807]",0.5494613124387855,-0.07570244591542676
avg_event_interval_sec,"(138.807, 161.919]",0.5088062622309197,-0.07570244591542676
avg_event_interval_sec,"(161.919, 178.406]",0.6223091976516634,-0.07570244591542676
avg_event_interval_sec,"(178.406, 194.605]",0.6807051909892262,-0.07570244591542676
avg_event_interval_sec,"(194.605, 211.789]",0.7896281800391389,-0.07570244591542676
avg_event_interval_sec,"(211.789, 235.423]",0.87279843444227,-0.07570244591542676
avg_event_interval_sec,"(235.423, 338.945]",0.9706457925636007,-0.07570244591542676
chat_opens,"(-0.001, 2.0]",0.8817934782608695,-0.31645873472996383
chat_opens,"(2.0, 3.0]",0.7432995830851697,-0.31645873472996383
chat_opens,"(3.0, 4.0]",0.7568047337278107,-0.31645873472996383
chat_opens,"(4.0, 5.0]",0.7342995169082126,-0.31645873472996383
chat_opens,"(5.0, 7.0]",0.67109375,-0.31645873472996383
chat_opens,"(7.0, 23.0]",0.41576506955177744,-0.31645873472996383
chat_views,"(-0.001, 2.0]",0.891832229580574,-0.34535072134463973
chat_views,"(2.0, 3.0]",0.7481481481481481,-0.34535072134463973
chat_views,"(3.0, 4.0]",0.7706535141800247,-0.34535072134463973
chat_views,"(4.0, 5.0]",0.7374701670644391,-0.34535072134463973
chat_views,"(5.0, 6.0]",0.7042424242424242,-0.34535072134463973
